lemma,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"spaghetti and meatballs",2,0,1,8,1,0,0,0,5,2,0,4,1,0,0,1,3,0,5,0,1,2,0,2,0,0,2,1,3,2,7,1,0,7,0,1,6,1,1,0,1,8,1,0,2,2,0,1,0
"spaghetti squash",0,3,0,7,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,3,0,0,0,0,3,0,2,0,0,0,0,0,2,1,2,0,2,0,0,1,2,1,0,0,0
"spicy chicken",3,4,1,37,1,2,0,1,15,10,1,10,7,1,2,5,2,1,9,8,5,2,7,2,0,0,3,1,5,0,13,7,1,9,2,7,8,2,6,0,7,25,6,1,10,6,2,3,0
"spinach",8,13,5,131,11,8,3,12,37,33,2,31,9,8,6,2,11,1,18,17,23,15,5,7,0,1,5,2,18,3,67,29,0,23,2,11,22,5,8,3,18,75,7,1,32,12,3,5,0
"split pea soup",0,1,0,7,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"steak",4,7,4,39,2,3,2,2,17,12,1,4,3,0,1,0,14,1,7,3,12,4,3,4,1,2,16,0,5,4,18,8,0,9,3,1,8,0,10,1,11,28,1,0,8,9,1,3,0
"steak egg and cheese bagel",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
"steamed broccoli",0,1,1,7,1,2,0,0,1,3,0,1,0,1,0,4,5,0,0,0,2,0,1,0,0,1,0,0,2,0,3,0,0,1,0,2,4,0,4,0,0,7,0,0,1,1,0,0,0
"strawberries",16,12,5,165,8,11,6,5,52,41,1,45,20,5,6,4,34,2,34,20,45,18,15,14,0,5,13,1,22,5,54,33,1,40,15,14,40,4,14,2,19,103,4,0,35,13,7,18,0
"strawberry cream cheese",1,1,1,6,0,3,0,0,2,2,0,2,1,0,0,0,0,1,4,1,1,3,0,1,1,0,0,0,2,0,3,1,1,3,0,2,2,0,2,0,2,1,0,0,0,1,0,2,0
"strawberry ice cream",0,0,0,11,1,0,0,0,5,3,0,2,1,1,2,0,0,0,1,2,0,3,1,0,0,0,0,0,1,0,6,0,0,1,2,2,5,0,1,0,2,14,0,0,0,2,0,1,0
"strawberry jam",0,1,1,3,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0,1,0,0,2,0,0,0,0,3,0,0,1,1,0,1,0
"sugar cookie",10,4,4,45,6,7,4,6,29,22,0,26,12,16,5,13,10,2,22,20,34,14,6,9,0,3,3,3,27,0,42,13,3,43,10,5,28,6,9,3,9,37,7,1,15,12,7,13,0
"sundried tomato",0,0,0,3,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
"sunflower seeds",13,1,19,38,4,7,1,7,25,29,0,17,3,4,9,1,25,1,14,7,11,6,6,7,0,1,4,1,14,2,17,19,0,23,8,2,17,2,11,0,12,45,0,0,16,6,6,7,0
"sweet and sour chicken",3,1,1,6,1,0,1,0,3,2,0,3,1,1,1,5,0,0,2,0,9,0,0,2,0,0,1,0,4,0,2,5,1,5,2,0,6,0,3,0,0,9,2,0,3,2,0,2,0
